Date,Open,High,Low,Close,Adj Close,Volume
2010-12-29,660.00,660.00,660.00,660.00,643.17,0.00
2010-12-30,660.00,660.00,660.00,660.00,643.17,0.00
2010-12-31,660.00,660.00,660.00,660.00,643.17,0.00
2011-01-03,660.00,660.00,660.00,660.00,643.17,0.00
2011-01-04,660.00,660.00,660.00,660.00,643.17,0.00
2011-01-05,660.00,660.00,660.00,660.00,643.17,0.00
2011-01-06,830.00,830.00,830.00,830.00,808.84,100.00
2011-01-07,830.00,830.00,830.00,830.00,808.84,0.00
2011-01-10,830.00,830.00,830.00,830.00,808.84,0.00
2011-01-11,830.00,830.00,830.00,830.00,808.84,0.00
2011-01-12,830.00,830.00,830.00,830.00,808.84,0.00
2011-01-13,830.00,830.00,830.00,830.00,808.84,0.00
2011-01-14,830.00,830.00,830.00,830.00,808.84,0.00
2011-01-18,830.00,830.00,830.00,830.00,808.84,0.00
2011-01-19,830.00,830.00,830.00,830.00,808.84,0.00
2011-01-20,830.00,830.00,830.00,830.00,808.84,0.00
2011-01-21,830.00,830.00,830.00,830.00,808.84,0.00
2011-01-24,830.00,830.00,830.00,830.00,808.84,0.00
2011-01-25,830.00,830.00,830.00,830.00,808.84,0.00
2011-01-26,830.00,830.00,830.00,830.00,808.84,0.00
2011-01-27,448.00,448.00,448.00,448.00,436.58,100.00
2011-01-28,448.00,448.00,448.00,448.00,436.58,0.00
2011-01-31,448.00,448.00,448.00,448.00,436.58,0.00
2011-02-01,448.00,448.00,448.00,448.00,436.58,0.00
2011-02-02,448.00,448.00,448.00,448.00,436.58,0.00
2011-02-03,448.00,448.00,448.00,448.00,436.58,0.00
2011-02-04,830.00,830.00,830.00,830.00,808.84,0.00
2011-02-07,830.00,830.00,830.00,830.00,808.84,0.00
2011-02-08,830.00,830.00,830.00,830.00,808.84,0.00
2011-02-09,830.00,830.00,830.00,830.00,808.84,0.00
2011-02-10,830.00,830.00,830.00,830.00,808.84,0.00
2011-02-11,830.00,830.00,830.00,830.00,808.84,0.00
2011-02-14,830.00,830.00,830.00,830.00,808.84,0.00
2011-02-15,830.00,830.00,830.00,830.00,808.84,0.00
2011-02-16,830.00,830.00,830.00,830.00,808.84,0.00
2011-02-17,830.00,830.00,830.00,830.00,808.84,0.00
2011-02-18,830.00,830.00,830.00,830.00,808.84,0.00
2011-02-22,830.00,830.00,830.00,830.00,808.84,0.00
2011-02-23,830.00,830.00,830.00,830.00,808.84,0.00
2011-02-24,830.00,830.00,830.00,830.00,808.84,0.00
2011-02-25,830.00,830.00,830.00,830.00,808.84,0.00
2011-02-28,830.00,830.00,830.00,830.00,808.84,0.00
2011-03-01,830.00,830.00,830.00,830.00,808.84,0.00
2011-03-02,830.00,830.00,830.00,830.00,808.84,0.00
2011-03-03,830.00,830.00,830.00,830.00,808.84,0.00
2011-03-04,830.00,830.00,830.00,830.00,808.84,0.00
2011-03-07,830.00,830.00,830.00,830.00,808.84,0.00
2011-03-08,830.00,830.00,830.00,830.00,808.84,0.00
2011-03-09,830.00,830.00,830.00,830.00,808.84,0.00
2011-03-10,830.00,830.00,830.00,830.00,808.84,0.00
2011-03-11,830.00,830.00,830.00,830.00,808.84,0.00
2011-03-14,830.00,830.00,830.00,830.00,808.84,0.00
2011-03-15,830.00,830.00,830.00,830.00,808.84,0.00
2011-03-16,830.00,830.00,830.00,830.00,808.84,0.00
2011-03-17,830.00,830.00,830.00,830.00,808.84,0.00
2011-03-18,830.00,830.00,830.00,830.00,808.84,0.00
2011-03-21,830.00,830.00,830.00,830.00,808.84,0.00
2011-03-22,830.00,830.00,830.00,830.00,808.84,0.00
2011-03-23,830.00,830.00,830.00,830.00,808.84,0.00
2011-03-24,830.00,830.00,830.00,830.00,808.84,0.00
